PDB_File,LigVol,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,FractionCSP3,NumHeteroatoms,HeavyAtomCount,NumAtoms,MolMR,BertzCT,NumCarbons,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex
DB00114,196.79200000000006,247.14300000000006,0.5174199999999998,116.95,3,7,8,1,0.25,8,16,26,52.85940000000002,746.0167270780516,8,0.4945160241579019,0.9773299922900621,0.0016659908116146802,0.21172171870242065,0.8628717258953831,517.9330641440254,2110.8358636762273,2446.291610129952,3.2042873749302907,0.10819195352527497
DB00118,338.72800000000007,398.4449999999998,-3.2568999999999964,185.46,4,11,12,2,0.6,12,27,49,96.28140000000002,1633.5126160383775,15,0.2401210562796118,0.9193032766597543,0.0003374891487243026,0.39354985138180276,0.7717890820671339,2286.855992213291,4484.744387154482,5810.841966230843,3.9735921227606203,0.2554966593889756
DB00119,76.59200000000001,88.06199999999997,-0.34000000000000014,54.37,1,3,2,0,0.3333333333333333,3,6,10,18.3168,159.620976451076,3,0.27301503327154303,0.9162651477053727,0.006738615457512323,0.40057231444578323,0.6138268530663569,91.09094545260811,139.58545404560525,227.40200000750954,1.6127261815900882,0.12901294245678593
DB00120,157.68800000000005,165.1920000000001,0.6409999999999996,63.31999999999999,2,3,4,1,0.2222222222222222,3,12,23,45.75720000000002,619.8697128533596,9,0.4052938550049806,0.9643703176849537,0.003101995100559458,0.264556025008355,0.8483843297554622,273.49634743215825,877.0543607898206,1033.7936829203602,2.571289950324439,0.23690113618560912
DB00121,216.05600000000004,244.31600000000012,0.7967999999999997,78.42999999999999,3,4,5,0,0.8,6,16,32,61.593200000000024,855.9207779590092,10,0.5767336535029632,0.9855692967441203,0.0016698037808169995,0.1692724470057081,0.9083098488888921,543.9620267505177,2918.8806274088834,3213.52964627595,3.696403057348711,0.1735792942513049
DB00122,119.48000000000003,104.17299999999992,-0.3151000000000001,20.23,1,1,6,0,1.0,2,7,21,29.985199999999985,338.2571805213645,5,0.3103084899639185,0.938709472386848,0.008325293531494924,0.3447093361822473,0.9896688578678418,118.87495066977328,341.2928641893553,344.85561657930924,1.9656748325065467,0.668699300002947
DB00123,148.81600000000003,146.1900000000001,-0.47269999999999884,89.33999999999999,3,4,7,0,0.8333333333333334,4,10,24,38.51659999999998,479.88512500855484,6,0.700218628856451,0.9936454908970043,0.006401191017549933,0.11255504617764384,0.9298782920497425,145.26644955607887,1200.1249396863282,1290.625827000303,3.0026194279737117,0.1723216214676312
DB00126,142.52000000000004,176.12400000000005,-1.4074000000000002,107.22,4,6,6,0,0.5,6,12,20,35.25619999999999,441.17325948008244,6,0.3343367599042473,0.949684253897137,0.002690140563435589,0.31320890456664596,0.8239315083659084,306.27823674524365,805.6996014539005,977.8720600840147,2.4357531856620738,0.24957460977292945
DB00128,114.33600000000003,133.10300000000004,-1.126999999999999,100.61999999999999,3,5,4,0,0.5,5,9,16,27.863999999999997,296.11141326299594,4,0.20986564796031584,0.9070929563255299,0.003879851169955214,0.42093036073038287,0.8359827512745474,215.46773694522858,427.926631925106,511.88452306304754,2.0832169442657396,0.293108148363851
DB00129,131.58400000000003,132.16299999999998,-0.8627999999999982,89.33999999999999,3,4,6,0,0.8,4,9,21,33.89959999999999,399.1090244518057,5,0.36140889005484467,0.9548237190904804,0.004540410928517596,0.2971727872168372,0.9201301965349568,202.65350670261273,627.4720262818478,681.9383046494871,2.3917463591857993,0.37893627500933613
